t_M,M,C_mean,t_r,r,abs_r
0,-0.14453125,0.14453125,0,-0.14518092877148092,0.14518092877148092
1,-0.125,0.125,1,0.14518092877148092,0.14518092877148092
2,-0.14453125,0.14453125,2,0.0,0.0
3,-0.14453125,0.14453125,3,0.102653479048046,0.102653479048046
4,-0.16015625,0.16015625,4,-0.102653479048046,0.102653479048046
5,-0.14453125,0.14453125,5,-0.01360555727672752,0.01360555727672752
6,-0.142578125,0.142578125,6,0.14035643924040753,0.14035643924040753
7,-0.1640625,0.1640625,7,-0.19670896920324865,0.19670896920324865
8,-0.134765625,0.134765625,8,0.06995808723956864,0.06995808723956864
9,-0.14453125,0.14453125,9,-0.01360555727672752,0.01360555727672752
10,-0.142578125,0.142578125,10,-0.0709512202628999,0.0709512202628999
11,-0.1328125,0.1328125,11,0.17494024108059025,0.17494024108059025
12,-0.158203125,0.158203125,12,-0.050643404457889396,0.050643404457889396
13,-0.150390625,0.150390625,13,0.17798207106871944,0.17798207106871944
14,-0.1796875,0.1796875,14,0.05292211458902196,0.05292211458902196
15,-0.189453125,0.189453125,15,0.030459049135016292,0.030459049135016292
16,-0.1953125,0.1953125,16,0.0,0.0
17,-0.1953125,0.1953125,17,-0.12783267333188508,0.12783267333188508
18,-0.171875,0.171875,18,0.24116081007011791,0.24116081007011791
19,-0.21875,0.21875,19,-0.16462116165351515,0.16462116165351515
20,-0.185546875,0.185546875,20,0.020833975780266023,0.020833975780266023
21,-0.189453125,0.189453125,21,0.05026157603954817,0.05026157603954817
22,-0.19921875,0.19921875,22,0.19530786174925452,0.19530786174925452
23,-0.2421875,0.2421875,23,0.09969896841864823,0.09969896841864823
24,-0.267578125,0.267578125,24,0.07723107017017172,0.07723107017017172
25,-0.2890625,0.2890625,25,0.0,0.0
26,-0.2890625,0.2890625,26,0.006734008963575455,0.006734008963575455
27,-0.291015625,0.291015625,27,-0.04110153150808804,0.04110153150808804
28,-0.279296875,0.279296875,28,-0.014084689095828828,0.014084689095828828
29,-0.275390625,0.275390625,29,0.03484660697425346,0.03484660697425346
30,-0.28515625,0.28515625,30,0.027028578872261066,0.027028578872261066
31,-0.29296875,0.29296875,31,-0.2231426979841531,0.2231426979841531
32,-0.234375,0.234375,32,-0.05129306982713033,0.05129306982713033
33,-0.22265625,0.22265625,33,-0.03571791928544177,0.03571791928544177
34,-0.21484375,0.21484375,34,0.026907329348488718,0.026907329348488718
35,-0.220703125,0.220703125,35,0.0,0.0
36,-0.220703125,0.220703125,36,-0.28473506967394036,0.28473506967394036
37,-0.166015625,0.166015625,37,-0.02381050354931613,0.02381050354931613
38,-0.162109375,0.162109375,38,-0.4485452025694514,0.4485452025694514
39,-0.103515625,0.103515625,39,0.27820098242550473,0.27820098242550473
40,-0.13671875,0.13671875,40,0.028170673793558754,0.028170673793558754
41,-0.140625,0.140625,41,0.06713884108034374,0.06713884108034374
42,-0.150390625,0.150390625,42,0.1335305614608726,0.1335305614608726
43,-0.171875,0.171875,43,0.15739132644796827,0.15739132644796827
44,-0.201171875,0.201171875,44,0.24807184227565982,0.24807184227565982
45,-0.2578125,0.2578125,45,-0.030771537455110076,0.030771537455110076
46,-0.25,0.25,46,-0.09843965902188967,0.09843965902188967
47,-0.2265625,0.2265625,47,0.15906404554512044,0.15906404554512044
48,-0.265625,0.265625,48,-0.06846753248831994,0.06846753248831994
49,-0.248046875,0.248046875,49,-0.048396340953780426,0.048396340953780426
50,-0.236328125,0.236328125,50,-0.0595918373802673,0.0595918373802673
51,-0.22265625,0.22265625,51,0.10008303082280534,0.10008303082280534
52,-0.24609375,0.24609375,52,0.08369869261213325,0.08369869261213325
53,-0.267578125,0.267578125,53,-0.06016828970137511,0.06016828970137511
54,-0.251953125,0.251953125,54,0.02298942802068349,0.02298942802068349
55,-0.2578125,0.2578125,55,-0.09530979192711664,0.09530979192711664
56,-0.234375,0.234375,56,0.032789685189160034,0.032789685189160034
57,-0.2421875,0.2421875,57,-0.05810738377221325,0.05810738377221325
58,-0.228515625,0.228515625,58,0.10536007805280767,0.10536007805280767
59,-0.25390625,0.25390625,59,0.08829227431919828,0.08829227431919828
60,-0.27734375,0.27734375,60,-0.007067141651314168,0.007067141651314168
61,-0.275390625,0.275390625,61,0.048452211640341414,0.048452211640341414
62,-0.2890625,0.2890625,62,-0.06273811664044526,0.06273811664044526
63,-0.271484375,0.271484375,63,0.07616109084661837,0.07616109084661837
64,-0.29296875,0.29296875,64,-0.12028572958535966,0.12028572958535966
65,-0.259765625,0.259765625,65,-0.0700672832096334,0.0700672832096334
66,-0.2421875,0.2421875,66,-0.07534911410151834,0.07534911410151834
67,-0.224609375,0.224609375,67,0.0,0.0
68,-0.224609375,0.224609375,68,0.017241730329305094,0.017241730329305094
69,-0.228515625,0.228515625,69,0.11302292073390285,0.11302292073390285
70,-0.255859375,0.255859375,70,-0.015384858244416488,0.015384858244416488
71,-0.251953125,0.251953125,71,-0.06402159635329618,0.06402159635329618
72,-0.236328125,0.236328125,72,0.016393740972632465,0.016393740972632465
73,-0.240234375,0.240234375,73,-0.041499554526077675,0.041499554526077675
74,-0.23046875,0.23046875,74,0.08134530047231481,0.08134530047231481
75,-0.25,0.25,75,0.0679503991358017,0.0679503991358017
76,-0.267578125,0.267578125,76,0.01449295352972646,0.01449295352972646
77,-0.271484375,0.271484375,77,-0.13868283958439775,0.13868283958439775
78,-0.236328125,0.236328125,78,0.02449091763602307,0.02449091763602307
79,-0.2421875,0.2421875,79,-0.032789685189160034,0.032789685189160034
80,-0.234375,0.234375,80,0.008298767553136965,0.008298767553136965
81,-0.236328125,0.236328125,81,0.048396340953780426,0.048396340953780426
82,-0.248046875,0.248046875,82,0.09028649863061733,0.09028649863061733
83,-0.271484375,0.271484375,83,-0.044124638738741284,0.044124638738741284
84,-0.259765625,0.259765625,84,-0.17184953512518697,0.17184953512518697
85,-0.21875,0.21875,85,-0.20763830983856857,0.20763830983856857
86,-0.177734375,0.177734375,86,-0.10413964172744938,0.10413964172744938
87,-0.16015625,0.16015625,87,0.10413964172744938,0.10413964172744938
88,-0.177734375,0.177734375,88,0.0,0.0
89,-0.177734375,0.177734375,89,0.07410757027207193,0.07410757027207193
90,-0.19140625,0.19140625,90,0.059423119059457186,0.059423119059457186
91,-0.203125,0.203125,91,0.1839220110877351,0.1839220110877351
92,-0.244140625,0.244140625,92,-0.01612931532853268,0.01612931532853268
93,-0.240234375,0.240234375,93,0.1714216105861226,0.1714216105861226
94,-0.28515625,0.28515625,94,-0.01379327342626735,0.01379327342626735
95,-0.28125,0.28125,95,0.1421740175639008,0.1421740175639008
96,-0.32421875,0.32421875,96,-0.10804113050797004,0.10804113050797004
97,-0.291015625,0.291015625,97,0.08364975354005089,0.08364975354005089
98,-0.31640625,0.31640625,98,-0.07031626818356429,0.07031626818356429
99,-0.294921875,0.294921875,99,0.09470764515148344,0.09470764515148344
100,-0.32421875,0.32421875,100,0.14028523598217324,0.14028523598217324
101,-0.373046875,0.373046875,101,-0.010526384620627272,0.010526384620627272
102,-0.369140625,0.369140625,102,0.09579081718606797,0.09579081718606797
103,-0.40625,0.40625,103,0.04235917174793069,0.04235917174793069
104,-0.423828125,0.423828125,104,-0.052021058761295036,0.052021058761295036
105,-0.40234375,0.40234375,105,-0.01960842217192771,0.01960842217192771
106,-0.39453125,0.39453125,106,-0.1208815658795982,0.1208815658795982
107,-0.349609375,0.349609375,107,-0.15043273908843258,0.15043273908843258
108,-0.30078125,0.30078125,108,-0.16941753817406213,0.16941753817406213
109,-0.25390625,0.25390625,109,0.1950598846186804,0.1950598846186804
110,-0.30859375,0.30859375,110,-0.02564234644461827,0.02564234644461827
111,-0.30078125,0.30078125,111,0.06291362268711742,0.06291362268711742
112,-0.3203125,0.3203125,112,0.0,0.0
113,-0.3203125,0.3203125,113,0.07628307545446811,0.07628307545446811
114,-0.345703125,0.345703125,114,0.05495872959374015,0.05495872959374015
115,-0.365234375,0.365234375,115,-0.13124180504820826,0.13124180504820826
116,-0.3203125,0.3203125,116,-0.0694282819784795,0.0694282819784795
117,-0.298828125,0.298828125,117,0.04473574743664188,0.04473574743664188
118,-0.3125,0.3125,118,-0.018927948739219547,0.018927948739219547
119,-0.306640625,0.306640625,119,-0.1964326931434437,0.1964326931434437
120,-0.251953125,0.251953125,120,-0.01562525539951576,0.01562525539951576
121,-0.248046875,0.248046875,121,0.023347270962837063,0.023347270962837063
122,-0.25390625,0.25390625,122,-0.07174361191661749,0.07174361191661749
123,-0.236328125,0.236328125,123,-0.2959794177897752,0.2959794177897752
124,-0.17578125,0.17578125,124,-0.06899246514013924,0.06899246514013924
125,-0.1640625,0.1640625,125,0.13353063072411442,0.13353063072411442
126,-0.1875,0.1875,126,-0.07571140226236617,0.07571140226236617
127,-0.173828125,0.173828125,127,-0.11918778906590322,0.11918778906590322
128,-0.154296875,0.154296875,128,0.14141079941597035,0.14141079941597035
129,-0.177734375,0.177734375,129,-0.02222301035006713,0.02222301035006713
130,-0.173828125,0.173828125,130,0.1264834636107599,0.1264834636107599
131,-0.197265625,0.197265625,131,0.06701038171838203,0.06701038171838203
132,-0.2109375,0.2109375,132,0.054066971758756965,0.054066971758756965
133,-0.22265625,0.22265625,133,0.06782230183328175,0.06782230183328175
134,-0.23828125,0.23828125,134,-0.13119162194857514,0.13119162194857514
135,-0.208984375,0.208984375,135,-0.10848009471023934,0.10848009471023934
136,-0.1875,0.1875,136,0.08004229741923008,0.08004229741923008
137,-0.203125,0.203125,137,0.1596294192395844,0.1596294192395844
