Bornholdt baseline run (lattice or network)
params: {'topology': 'lattice', 'L': 32, 'n': None, 'net_params': {'m': 2, 'k': 4, 'p': 0.1}, 'J': 1.0, 'alpha': 8.0, 'T': 1.5, 'seed': 0, 'n_steps': 20000, 'burn_in': 10000, 'thin': 1, 'eps': 1e-06}
columns: t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
1.000100000000000000e+04,2.148437500000000000e-02,nan,nan,2.148437500000000000e-02,4.892578125000000000e-01,5.107421875000000000e-01
1.000200000000000000e+04,2.148437500000000000e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.148437500000000000e-02,4.892578125000000000e-01,5.107421875000000000e-01
1.000300000000000000e+04,2.734375000000000000e-02,2.411520832054017127e-01,2.411520832054017127e-01,2.734375000000000000e-02,4.863281250000000000e-01,5.136718750000000000e-01
1.000400000000000000e+04,-3.906250000000000000e-03,-1.945690752577574845e+00,1.945690752577574845e+00,3.906250000000000000e-03,4.980468750000000000e-01,5.019531250000000000e-01
1.000500000000000000e+04,-3.320312500000000000e-02,2.139840313452210818e+00,2.139840313452210818e+00,3.320312500000000000e-02,4.833984375000000000e-01,5.166015625000000000e-01
1.000600000000000000e+04,-1.953125000000000000e-03,-2.832731592277025978e+00,2.832731592277025978e+00,1.953125000000000000e-03,4.990234375000000000e-01,5.009765625000000000e-01
1.000700000000000000e+04,1.562500000000000000e-02,2.078993670659201598e+00,2.078993670659201598e+00,1.562500000000000000e-02,4.921875000000000000e-01,5.078125000000000000e-01
1.000800000000000000e+04,2.343750000000000000e-02,4.054437759125470997e-01,4.054437759125470997e-01,2.343750000000000000e-02,4.882812500000000000e-01,5.117187500000000000e-01
1.000900000000000000e+04,3.906250000000000000e-02,5.108085576818459650e-01,5.108085576818459650e-01,3.906250000000000000e-02,4.804687500000000000e-01,5.195312500000000000e-01
1.001000000000000000e+04,4.492187500000000000e-02,1.397586033246289716e-01,1.397586033246289716e-01,4.492187500000000000e-02,4.775390625000000000e-01,5.224609375000000000e-01
1.001100000000000000e+04,3.320312500000000000e-02,-3.022730153011976562e-01,3.022730153011976562e-01,3.320312500000000000e-02,4.833984375000000000e-01,5.166015625000000000e-01
1.001200000000000000e+04,5.859375000000000000e-02,5.679709869334401695e-01,5.679709869334401695e-01,5.859375000000000000e-02,4.707031250000000000e-01,5.292968750000000000e-01
