# Bornholdt2D baseline run
# params: L=20, J=1.0, T=1.5, alpha=8.0, seed=0, steps=50000, burn_in=10000, thin=1, eps=1e-06
t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
10001,0.075,nan,nan,0.075,0.4625,0.5375
10002,0.07,-0.06899191911915059,0.06899191911915059,0.07,0.465,0.5349999999999999
10003,0.105,0.405460346260091,0.405460346260091,0.105,0.4475,0.5525
10004,0.045,-0.847285162176064,0.847285162176064,0.045,0.4775,0.5225
10005,0.115,0.938256112231985,0.938256112231985,0.115,0.4425,0.5575
10006,0.125,0.08338091329268416,0.08338091329268416,0.125,0.4375,0.5625
10007,0.125,0.0,0.0,0.125,0.4375,0.5625
10008,0.255,0.7129457294490629,0.7129457294490629,0.255,0.3725,0.6275
10009,0.175,-0.3764757785264623,0.3764757785264623,0.175,0.4125,0.5875
10010,0.15,-0.15414972745220168,0.15414972745220168,0.15,0.425,0.575
10011,0.125,-0.1823202234703989,0.1823202234703989,0.125,0.4375,0.5625
10012,0.135,0.07696044854810102,0.07696044854810102,0.135,0.4325,0.5675
10013,0.12,-0.11778210973774517,0.11778210973774517,0.12,0.44,0.56
10014,0.085,-0.3448370549536621,0.3448370549536621,0.085,0.4575,0.5425
10015,0.08,-0.06062388653123785,0.06062388653123785,0.08,0.46,0.54
10016,0.14,0.5596104308451799,0.5596104308451799,0.14,0.43,0.5700000000000001
10017,0.155,0.10178200307040108,0.10178200307040108,0.155,0.4225,0.5775
10018,0.12,-0.25593149243068103,0.25593149243068103,0.12,0.44,0.56
10019,0.005,-3.1778621836438905,3.1778621836438905,0.005,0.4975,0.5025
10020,-0.035,1.9457387400730632,1.9457387400730632,0.01,0.495,0.505
10021,-0.065,0.61902602188285,0.61902602188285,0.065,0.4675,0.5325
10022,-0.185,1.0459585760764412,1.0459585760764412,0.185,0.4075,0.5925
10023,-0.25,0.30110368738512516,0.30110368738512516,0.25,0.375,0.625
10024,-0.145,-0.5447242789057289,0.5447242789057289,0.145,0.4275,0.5725
10025,-0.015,-2.2686237734017642,2.2686237734017642,0.015,0.4925,0.5075000000000001
10026,0.02,0.2876654067572795,0.2876654067572795,0.095,0.4525,0.5475
10027,-0.045,0.8109024394415996,0.8109024394415996,0.06,0.47,0.53
10028,-0.065,0.3677179426470478,0.3677179426470478,0.065,0.4675,0.5325
10029,-0.04,-0.4854982005912385,0.4854982005912385,0.04,0.48,0.52
10030,0.03,-0.2876737393614959,0.2876737393614959,0.03,0.485,0.515
10031,-0.01,-1.098545626445567,1.098545626445567,0.07,0.465,0.5349999999999999
10032,-0.045,1.5039996237512536,1.5039996237512536,0.045,0.4775,0.5225
10033,0.03,-0.40545399730568654,0.40545399730568654,-0.06,0.53,0.47
10034,0.01,-1.098545626445567,1.098545626445567,0.01,0.495,0.505
10035,-0.01,0.0,0.0,0.01,0.495,0.505
10036,-0.02,0.6930971843096541,0.6930971843096541,-0.03,0.515,0.485
10037,-0.05,0.9162607329241164,0.9162607329241164,0.05,0.475,0.525
10038,-0.175,1.252748682964753,1.252748682964753,0.175,0.4125,0.5875
10039,-0.235,0.294798081261352,0.294798081261352,0.235,0.3825,0.6174999999999999
10040,-0.23,-0.021506112714423375,0.021506112714423375,0.23,0.385,0.615
10041,-0.165,-0.33213212225155475,0.33213212225155475,0.165,0.4175,0.5825
10042,-0.105,-0.4519816605665796,0.4519816605665796,0.105,0.4475,0.5525
10043,-0.15,0.3566720868190041,0.3566720868190041,0.15,0.425,0.575
10044,-0.215,0.36000071853893667,0.36000071853893667,0.215,0.3925,0.6074999999999999
10045,-0.225,0.04546216735935116,0.04546216735935116,0.225,0.3875,0.6125
10046,-0.14,-0.4744552811980509,0.4744552811980509,0.14,0.43,0.5700000000000001
10047,-0.13,-0.07410742270724824,0.07410742270724824,0.13,0.435,0.565
10048,-0.195,0.40546254402203696,0.40546254402203696,0.195,0.4025,0.5974999999999999
10049,-0.125,-0.44468294948542453,0.44468294948542453,0.125,0.4375,0.5625
10050,-0.15,0.1823202234703989,0.1823202234703989,0.15,0.425,0.575
10051,-0.16,0.06453810447359554,0.06453810447359554,0.16,0.42,0.5800000000000001
10052,-0.01,-2.7724949772199174,2.7724949772199174,0.015,0.4925,0.5075000000000001
10053,-0.04,1.386219365807063,1.386219365807063,0.045,0.4775,0.5225
10054,-0.105,0.9650654201202546,0.9650654201202546,0.105,0.4475,0.5525
10055,-0.1,-0.0487896879836045,0.0487896879836045,0.1,0.45,0.55
10056,-0.19,0.6418491493664389,0.6418491493664389,0.19,0.405,0.595
10057,-0.12,-0.45952925922387333,0.45952925922387333,0.12,0.44,0.56
10058,-0.135,0.11778210973774517,0.11778210973774517,0.135,0.4325,0.5675
10059,-0.075,-0.5877807390376466,0.5877807390376466,0.075,0.4625,0.5375
10060,-0.15,0.6931405139599445,0.6931405139599445,0.15,0.425,0.575
10061,-0.17,0.12516235864520175,0.12516235864520175,0.17,0.415,0.585
10062,-0.135,-0.23052213356749962,0.23052213356749962,0.135,0.4325,0.5675
10063,-0.135,0.0,0.0,0.135,0.4325,0.5675
10064,-0.265,0.6744514137456055,0.6744514137456055,0.265,0.3675,0.6325000000000001
10065,-0.17,-0.44392928017810585,0.44392928017810585,0.17,0.415,0.585
10066,-0.2,0.1625180471496348,0.1625180471496348,0.2,0.4,0.6
10067,-0.195,-0.02531767977981092,0.02531767977981092,0.195,0.4025,0.5974999999999999
10068,-0.095,-0.7191172688947967,0.7191172688947967,0.095,0.4525,0.5475
10069,-0.07,-0.30537789019932404,0.30537789019932404,0.07,0.465,0.5349999999999999
10070,-0.125,0.5798122096086962,0.5798122096086962,0.125,0.4375,0.5625
10071,-0.18,0.36464066916003257,0.36464066916003257,0.18,0.41,0.5900000000000001
10072,-0.13,-0.325420263696645,0.325420263696645,0.13,0.435,0.565
10073,-0.19,0.3794871925708416,0.3794871925708416,0.19,0.405,0.595
10074,-0.21,0.10008295730636219,0.10008295730636219,0.21,0.395,0.605
10075,-0.28,0.28768088198055075,0.28768088198055075,0.28,0.36,0.64
10076,-0.22,-0.24116108279486692,0.24116108279486692,0.22,0.39,0.61
10077,-0.18,-0.20066968536624263,0.20066968536624263,0.18,0.41,0.5900000000000001
10078,-0.175,-0.028170718237432002,0.028170718237432002,0.175,0.4125,0.5875
10079,-0.17,-0.028987368806999925,0.028987368806999925,0.17,0.415,0.585
10080,-0.195,0.13720036736982388,0.13720036736982388,0.195,0.4025,0.5974999999999999
10081,-0.27,0.32542097593949393,0.32542097593949393,0.27,0.365,0.635
10082,-0.195,-0.32542097593949393,0.32542097593949393,0.195,0.4025,0.5974999999999999
10083,-0.07,-1.0244951590941207,1.0244951590941207,0.07,0.465,0.5349999999999999
10084,-0.135,0.6567726581567972,0.6567726581567972,0.135,0.4325,0.5675
10085,-0.225,0.5108226608205857,0.5108226608205857,0.225,0.3875,0.6125
10086,-0.22,-0.022472754842411513,0.022472754842411513,0.22,0.39,0.61
10087,-0.18,-0.20066968536624263,0.20066968536624263,0.18,0.41,0.5900000000000001
10088,-0.1,-0.5877822204922423,0.5877822204922423,0.1,0.45,0.55
10089,-0.115,0.13976063803952554,0.13976063803952554,0.115,0.4425,0.5575
10090,-0.105,-0.09097095005592104,0.09097095005592104,0.105,0.4475,0.5525
10091,-0.11,0.046519582738488996,0.046519582738488996,0.11,0.445,0.5549999999999999
10092,-0.07,-0.45197992899857997,0.45197992899857997,0.07,0.465,0.5349999999999999
10093,-0.08,0.13352960693415206,0.13352960693415206,0.08,0.46,0.54
10094,-0.175,0.7827525535971447,0.7827525535971447,0.175,0.4125,0.5875
10095,-0.015,-2.456674822646149,2.456674822646149,0.015,0.4925,0.5075000000000001
10096,-0.02,0.2876654067572795,0.2876654067572795,0.02,0.49,0.51
10097,-0.03,0.405448442135913,0.405448442135913,0.03,0.485,0.515
10098,-0.04,0.2876737393614959,0.2876737393614959,0.04,0.48,0.52
10099,-0.08,0.6931346807943157,0.6931346807943157,0.08,0.46,0.54
10100,-0.15,0.628602826144943,0.628602826144943,0.15,0.425,0.575
10101,-0.23,0.4274416959991303,0.4274416959991303,0.23,0.385,0.615
10102,-0.08,-1.0560445221440733,1.0560445221440733,0.08,0.46,0.54
10103,-0.095,0.17184828326517199,0.17184828326517199,0.095,0.4525,0.5475
10104,-0.095,0.0,0.0,0.095,0.4525,0.5475
10105,-0.105,0.10008245606076693,0.10008245606076693,0.105,0.4475,0.5525
10106,-0.12,0.13353020215896105,0.13353020215896105,0.12,0.44,0.56
